id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
759,... < 0 DM,30,no credits taken/all credits paid back duly,others,2150,unknown/no savings account,1 <= ... < 4 yrs,< 20,guarantor,1 <= ... < 4 yrs,real estate,24,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
760,... < 0 DM,36,all credits at this bank paid back duly,others,2820,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
761,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,3060,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,unknown / no property,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
762,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,2600,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,real estate,65,none,own,2-3,skilled employee/official,0 to 2,no,no,bad
763,... >= 200 DM / salary for at least 1 year,21,delay in paying off in the past,others,5003,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,car or other,29,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
764,... < 0 DM,60,no credits taken/all credits paid back duly,repairs,6288,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,real estate,42,none,own,1,skilled employee/official,0 to 2,no,no,bad
765,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,others,2538,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,47,none,rent,2-3,unskilled - resident,3 or more,no,no,bad
766,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,furniture/equipment,1478,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
767,... < 0 DM,39,all credits at this bank paid back duly,furniture/equipment,4933,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,guarantor,1 <= ... < 4 yrs,unknown / no property,25,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
768,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,1530,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,car or other,32,bank,rent,2-3,skilled employee/official,0 to 2,no,no,bad
769,... < 0 DM,9,critical account/other credits elsewhere,others,1437,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,bad
770,no checking account,15,no credits taken/all credits paid back duly,radio/television,1275,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
771,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1823,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,stores,rent,1,manager/self-empl./highly qualif. employee,3 or more,no,no,bad
772,no checking account,9,no credits taken/all credits paid back duly,others,1422,unknown/no savings account,< 1 yr,20 <= ... < 25,none,1 <= ... < 4 yrs,real estate,27,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
773,no checking account,18,no credits taken/all credits paid back duly,radio/television,1217,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,4 <= ... < 7 yrs,unknown / no property,47,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
774,no checking account,36,no credits taken/all credits paid back duly,others,9271,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
775,no checking account,36,existing credits paid back duly till now,retraining,2145,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
776,no checking account,36,no credits taken/all credits paid back duly,others,1842,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
777,... < 0 DM,18,existing credits paid back duly till now,car (used),4297,unknown/no savings account,>= 7 yrs,< 20,none,4 <= ... < 7 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
778,no checking account,6,all credits at this bank paid back duly,car (used),3384,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,unknown / no property,44,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
779,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1245,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
780,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,repairs,4623,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,car or other,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
781,... < 0 DM,30,all credits at this bank paid back duly,car (used),8386,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,49,none,rent,1,skilled employee/official,0 to 2,no,no,bad
782,no checking account,24,existing credits paid back duly till now,furniture/equipment,1024,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,unknown / no property,48,stores,rent,1,skilled employee/official,0 to 2,no,no,bad
783,... < 0 DM,36,no credits taken/all credits paid back duly,others,14318,unknown/no savings account,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,real estate,57,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
784,... < 0 DM,6,critical account/other credits elsewhere,repairs,433,500 <= ... < 1000 DM,< 1 yr,< 20,none,1 <= ... < 4 yrs,car or other,24,bank,for free,1,skilled employee/official,3 or more,no,no,bad
785,no checking account,12,critical account/other credits elsewhere,furniture/equipment,2149,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,< 1 yr,real estate,29,none,own,1,skilled employee/official,0 to 2,no,no,bad
786,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,2397,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,35,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
787,... < 0 DM,6,critical account/other credits elsewhere,others,931,... <  100 DM,< 1 yr,>= 35,none,< 1 yr,car or other,32,stores,rent,1,unskilled - resident,0 to 2,no,no,bad
788,... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1512,500 <= ... < 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,car or other,61,stores,rent,2-3,skilled employee/official,0 to 2,no,no,bad
789,... < 0 DM,24,delay in paying off in the past,retraining,4241,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,unknown / no property,36,none,rent,4-5,unskilled - resident,0 to 2,yes (under customer name),no,bad
790,... < 0 DM,24,all credits at this bank paid back duly,car (used),4736,unknown/no savings account,< 1 yr,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,25,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
791,... < 0 DM,15,delay in paying off in the past,others,1778,unknown/no savings account,< 1 yr,25 <= ... < 35,none,< 1 yr,unknown / no property,26,none,for free,2-3,unemployed/unskilled - non-resident,0 to 2,no,no,bad
792,0<= ... < 200 DM,15,no credits taken/all credits paid back duly,furniture/equipment,2327,unknown/no savings account,< 1 yr,25 <= ... < 35,none,4 <= ... < 7 yrs,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,no,bad
793,no checking account,24,critical account/other credits elsewhere,car (used),6872,unknown/no savings account,< 1 yr,25 <= ... < 35,none,< 1 yr,car or other,55,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
794,no checking account,12,no credits taken/all credits paid back duly,repairs,795,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,bad
795,0<= ... < 200 DM,30,existing credits paid back duly till now,retraining,1908,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,66,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
796,... < 0 DM,36,delay in paying off in the past,retraining,1953,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,61,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
797,0<= ... < 200 DM,18,no credits taken/all credits paid back duly,car (used),2864,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,< 1 yr,unknown / no property,34,none,rent,1,unskilled - resident,3 or more,no,no,bad
798,0<= ... < 200 DM,21,all credits at this bank paid back duly,repairs,2319,unknown/no savings account,< 1 yr,25 <= ... < 35,none,< 1 yr,building soc. savings agr./life insurance,33,none,for free,1,skilled employee/official,0 to 2,no,no,bad
799,no checking account,24,no credits taken/all credits paid back duly,others,915,... >= 1000 DM,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
800,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,others,947,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,4 <= ... < 7 yrs,real estate,38,bank,own,1,skilled employee/official,3 or more,no,no,bad
801,no checking account,24,no credits taken/all credits paid back duly,others,1381,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,car or other,35,none,rent,1,skilled employee/official,0 to 2,no,no,bad
802,no checking account,24,no credits taken/all credits paid back duly,others,1285,... >= 1000 DM,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,no,no,bad
803,no checking account,24,no credits taken/all credits paid back duly,others,1371,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
804,... < 0 DM,18,no credits taken/all credits paid back duly,others,1042,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
805,no checking account,12,no credits taken/all credits paid back duly,others,900,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad
806,no checking account,24,no credits taken/all credits paid back duly,others,1207,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
807,... < 0 DM,18,delay in paying off in the past,others,2278,... <  100 DM,< 1 yr,20 <= ... < 25,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
808,no checking account,60,existing credits paid back duly till now,retraining,6836,unknown/no savings account,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,63,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
809,no checking account,24,no credits taken/all credits paid back duly,car (used),3345,unknown/no savings account,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
810,no checking account,6,critical account/other credits elsewhere,repairs,1198,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,35,none,own,1,skilled employee/official,0 to 2,no,no,bad
811,... < 0 DM,48,no credits taken/all credits paid back duly,retraining,15672,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
812,no checking account,60,no credits taken/all credits paid back duly,retraining,7297,unknown/no savings account,>= 7 yrs,< 20,co-applicant,>= 7 yrs,real estate,36,none,for free,1,skilled employee/official,0 to 2,no,no,bad
813,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,domestic appliances,1943,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad
814,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,3190,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
815,... < 0 DM,9,critical account/other credits elsewhere,car (new),5129,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,74,bank,own,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
816,... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (used),1808,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,< 1 yr,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
817,0<= ... < 200 DM,10,no credits taken/all credits paid back duly,others,1240,... <  100 DM,>= 7 yrs,>= 35,none,>= 7 yrs,real estate,48,none,own,1,unskilled - resident,3 or more,no,no,bad
818,no checking account,12,no credits taken/all credits paid back duly,others,759,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
819,... < 0 DM,8,no credits taken/all credits paid back duly,car (used),1237,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,>= 7 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
820,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),1980,unknown/no savings account,< 1 yr,25 <= ... < 35,co-applicant,1 <= ... < 4 yrs,building soc. savings agr./life insurance,19,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
821,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,10961,500 <= ... < 1000 DM,4 <= ... < 7 yrs,>= 35,co-applicant,1 <= ... < 4 yrs,real estate,27,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
822,no checking account,36,existing credits paid back duly till now,repairs,6887,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,4 <= ... < 7 yrs,car or other,29,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
823,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1938,unknown/no savings account,< 1 yr,< 20,none,4 <= ... < 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad
824,no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,1835,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,unknown / no property,25,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
825,no checking account,24,existing credits paid back duly till now,furniture/equipment,1659,unknown/no savings account,< 1 yr,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
826,... < 0 DM,6,existing credits paid back duly till now,others,1209,unknown/no savings account,unemployed,< 20,none,>= 7 yrs,car or other,47,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
827,... < 0 DM,48,delay in paying off in the past,retraining,3844,... <  100 DM,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,real estate,34,none,own,1,unskilled - resident,3 or more,no,no,bad
828,no checking account,12,all credits at this bank paid back duly,others,4843,unknown/no savings account,>= 7 yrs,20 <= ... < 25,co-applicant,>= 7 yrs,car or other,43,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
829,... < 0 DM,12,no credits taken/all credits paid back duly,domestic appliances,639,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,bad
830,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,5951,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
831,... < 0 DM,36,delay in paying off in the past,furniture/equipment,3804,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,< 1 yr,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
832,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,4463,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
833,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,retraining,7980,... >= 1000 DM,< 1 yr,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
834,0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4210,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
835,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,< 1 yr,>= 35,none,>= 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad
836,... < 0 DM,24,no credits taken/all credits paid back duly,car (new),11560,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
837,... >= 200 DM / salary for at least 1 year,18,delay in paying off in the past,retraining,4165,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,stores,rent,2-3,skilled employee/official,3 or more,no,no,bad
838,... < 0 DM,24,no credits taken/all credits paid back duly,car (used),4057,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
839,... >= 200 DM / salary for at least 1 year,18,critical account/other credits elsewhere,others,6458,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,39,bank,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
840,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,1386,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
841,no checking account,36,no credits taken/all credits paid back duly,repairs,1977,... >= 1000 DM,>= 7 yrs,< 20,none,>= 7 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
842,... < 0 DM,18,all credits at this bank paid back duly,car (used),1928,unknown/no savings account,< 1 yr,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,31,none,rent,2-3,unskilled - resident,0 to 2,no,no,bad
843,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (used),1123,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,no,no,bad
844,... < 0 DM,24,no credits taken/all credits paid back duly,business,11328,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,29,bank,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
845,... < 0 DM,24,all credits at this bank paid back duly,business,11938,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,39,none,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
846,... < 0 DM,27,all credits at this bank paid back duly,furniture/equipment,2520,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,car or other,23,none,rent,2-3,unskilled - resident,0 to 2,no,no,bad
847,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,1919,... <  100 DM,< 1 yr,< 20,none,4 <= ... < 7 yrs,real estate,30,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
848,... < 0 DM,60,critical account/other credits elsewhere,business,14782,... <  100 DM,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,60,bank,own,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
849,... < 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,2671,... <  100 DM,1 <= ... < 4 yrs,< 20,co-applicant,>= 7 yrs,real estate,50,none,own,1,skilled employee/official,0 to 2,no,no,bad
850,... < 0 DM,36,no credits taken/all credits paid back duly,repairs,12612,... <  100 DM,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,real estate,47,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,bad
851,... < 0 DM,45,no credits taken/all credits paid back duly,furniture/equipment,3031,... <  100 DM,1 <= ... < 4 yrs,< 20,guarantor,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad
852,no checking account,12,critical account/other credits elsewhere,furniture/equipment,626,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,24,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
853,... < 0 DM,24,all credits at this bank paid back duly,retraining,1935,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,31,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
854,0<= ... < 200 DM,24,all credits at this bank paid back duly,others,1344,... >= 1000 DM,4 <= ... < 7 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,37,bank,rent,2-3,unskilled - resident,3 or more,no,no,bad
855,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (used),1533,unknown/no savings account,< 1 yr,< 20,co-applicant,< 1 yr,car or other,43,none,rent,1,unskilled - resident,3 or more,no,no,bad
856,no checking account,48,no credits taken/all credits paid back duly,others,3931,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,real estate,46,none,own,1,skilled employee/official,3 or more,no,no,bad
857,no checking account,24,critical account/other credits elsewhere,car (used),3349,100 <= ... <  500 DM,< 1 yr,< 20,none,>= 7 yrs,real estate,30,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,bad
858,no checking account,36,no credits taken/all credits paid back duly,furniture/equipment,2302,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,for free,1,skilled employee/official,0 to 2,no,no,bad
859,no checking account,42,no credits taken/all credits paid back duly,furniture/equipment,3965,unknown/no savings account,< 1 yr,< 20,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,no,bad
860,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,727,... <  100 DM,< 1 yr,< 20,none,4 <= ... < 7 yrs,real estate,33,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
861,... >= 200 DM / salary for at least 1 year,48,no credits taken/all credits paid back duly,retraining,3914,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,38,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
862,no checking account,48,no credits taken/all credits paid back duly,retraining,4308,unknown/no savings account,< 1 yr,20 <= ... < 25,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
863,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1534,unknown/no savings account,< 1 yr,>= 35,none,< 1 yr,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,bad
864,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,2775,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,31,bank,rent,2-3,skilled employee/official,0 to 2,no,no,bad
865,no checking account,40,all credits at this bank paid back duly,repairs,5998,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,4 <= ... < 7 yrs,real estate,27,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
866,0<= ... < 200 DM,15,all credits at this bank paid back duly,furniture/equipment,1271,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,39,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
867,... < 0 DM,12,no credits taken/all credits paid back duly,others,1295,unknown/no savings account,< 1 yr,20 <= ... < 25,none,< 1 yr,building soc. savings agr./life insurance,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
868,... < 0 DM,36,no credits taken/all credits paid back duly,car (new),9398,unknown/no savings account,< 1 yr,>= 35,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
869,... < 0 DM,12,no credits taken/all credits paid back duly,car (used),951,... <  100 DM,< 1 yr,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,27,bank,for free,>= 6,skilled employee/official,0 to 2,no,no,bad
870,... < 0 DM,24,no credits taken/all credits paid back duly,others,1355,unknown/no savings account,< 1 yr,20 <= ... < 25,none,>= 7 yrs,building soc. savings agr./life insurance,25,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
871,no checking account,48,no credits taken/all credits paid back duly,radio/television,3051,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,>= 7 yrs,building soc. savings agr./life insurance,54,none,rent,1,skilled employee/official,0 to 2,no,no,bad
872,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,others,7855,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,25,stores,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
873,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,433,unknown/no savings account,unemployed,20 <= ... < 25,co-applicant,>= 7 yrs,unknown / no property,22,none,for free,1,skilled employee/official,0 to 2,no,no,bad
874,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,retraining,9572,unknown/no savings account,< 1 yr,>= 35,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
875,... < 0 DM,24,critical account/other credits elsewhere,repairs,1837,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,real estate,34,bank,own,1,unskilled - resident,0 to 2,no,no,bad
876,... < 0 DM,30,all credits at this bank paid back duly,others,4249,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
877,... < 0 DM,30,all credits at this bank paid back duly,others,5234,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
